iter	Passed	Remaining
399	51603	77404
400	51727	77268
401	51854	77136
402	51981	77005
403	52108	76873
404	52236	76742
405	52359	76604
406	52485	76471
407	52610	76337
408	52736	76203
409	52865	76074
410	52990	75940
411	53118	75809
412	53246	75679
413	53373	75548
414	53501	75417
415	53627	75284
416	53756	75156
417	53881	75021
418	54008	74890
419	54137	74761
420	54263	74628
421	54392	74499
422	54517	74365
423	54643	74232
424	54766	74095
425	54894	73965
426	55022	73836
427	55145	73699
428	55268	73562
429	55397	73434
430	55523	73300
431	55650	73169
432	55774	73034
433	55899	72900
434	56027	72771
435	56152	72637
436	56278	72505
437	56403	72371
438	56528	72238
439	56652	72103
440	56782	71975
441	56913	71850
442	57037	71715
443	57166	71586
444	57299	71463
445	57425	71331
446	57554	71202
447	57682	71073
448	57812	70945
449	57938	70813
450	58066	70683
451	58194	70554
452	58322	70424
453	58455	70301
454	58587	70175
455	58715	70046
456	58841	69914
457	58971	69787
458	59101	69659
459	59229	69530
460	59357	69400
461	59486	69272
462	59613	69141
463	59739	69009
464	59869	68882
465	59996	68751
466	60122	68619
467	60247	68486
468	60376	68357
469	60506	68230
470	60630	68096
471	60753	67962
472	60879	67830
473	61006	67698
474	61131	67566
475	61259	67436
476	61384	67304
477	61510	67173
478	61638	67043
479	61766	66914
480	61895	66785
481	62021	66653
482	62148	66523
483	62279	66397
484	62407	66267
485	62537	66140
486	62660	66005
487	62792	65881
488	62918	65749
489	63048	65621
490	63177	65493
491	63307	65366
492	63435	65237
493	63559	65103
494	63687	64974
495	63815	64844
496	63940	64712
497	64064	64579
498	64191	64449
499	64318	64318
500	64447	64190
501	64573	64058
502	64702	63930
503	64830	63801
504	64956	63669
505	65084	63540
506	65211	63410
507	65339	63281
508	65463	63148
509	65588	63016
510	65715	62886
511	65841	62755
512	65972	62628
513	66097	62496
514	66224	62366
515	66351	62236
516	66476	62104
517	66598	61969
518	66721	61836
519	66843	61701
520	66971	61573
521	67098	61442
522	67223	61310
523	67349	61180
524	67478	61051
525	67616	60931
526	67745	60803
527	67871	60672
528	67999	60543
529	68129	60416
530	68258	60288
531	68385	60158
532	68513	60029
533	68639	59898
534	68769	59771
535	68897	59642
536	69024	59512
537	69151	59383
538	69280	59254
