iter	MultiClass
0	2.990398648
1	2.987023275
2	2.983516526
3	2.979110433
4	2.974694838
5	2.971110293
6	2.966950145
7	2.963263472
8	2.958194648
9	2.954669614
10	2.950564346
11	2.946821125
12	2.943867205
13	2.939055417
14	2.935665593
15	2.93190806
16	2.927861458
17	2.923499616
18	2.919013468
19	2.915626588
20	2.911773698
21	2.907539974
22	2.903786079
23	2.901334994
24	2.896507748
25	2.892566409
26	2.887795768
27	2.883650267
28	2.880410666
29	2.876797188
30	2.873118349
31	2.868953912
32	2.865538096
33	2.861385591
34	2.858118585
35	2.854403871
36	2.850058132
37	2.84689314
38	2.843168792
39	2.84017569
40	2.836736068
41	2.832483675
42	2.828918626
43	2.824347873
44	2.820944821
45	2.816697319
46	2.813331277
47	2.810231802
48	2.807160856
49	2.803571015
50	2.800111743
51	2.796692846
52	2.793693875
53	2.790426789
54	2.787233368
55	2.785008343
56	2.782065588
57	2.778203932
58	2.774669418
59	2.770939491
60	2.767269076
61	2.764629851
62	2.760939363
63	2.757244872
64	2.753841984
65	2.750418853
66	2.747434276
67	2.74390474
68	2.74037016
69	2.737478236
70	2.734634126
71	2.730900474
72	2.728035032
73	2.725196624
74	2.722339326
75	2.718352836
76	2.715605246
77	2.71287553
78	2.708445589
79	2.70489766
80	2.701669564
81	2.699047542
82	2.696228719
83	2.694107839
84	2.691365897
85	2.687535601
86	2.684486556
87	2.68157751
88	2.679437007
89	2.676335684
90	2.67301819
91	2.669170258
92	2.666762803
93	2.664617787
94	2.661546861
95	2.658410696
96	2.65430714
97	2.651074152
98	2.647667217
99	2.644424465
100	2.640124257
101	2.636653925
102	2.634220172
103	2.630594101
104	2.627460514
105	2.623850198
106	2.620427663
107	2.618057293
108	2.614738296
109	2.611438099
110	2.608221312
111	2.603712663
112	2.600642311
113	2.597644948
114	2.594186122
115	2.590774301
116	2.587722525
117	2.585552431
118	2.582983202
119	2.579148734
120	2.577472131
121	2.574125319
122	2.570282714
123	2.567155046
124	2.564453045
125	2.561697359
126	2.55870358
127	2.556275896
128	2.552900132
129	2.54933432
130	2.544539059
131	2.542156274
132	2.540029637
133	2.537727289
134	2.535526202
135	2.532340828
136	2.530034045
137	2.527949027
138	2.524989892
139	2.52306465
140	2.519842133
141	2.517479544
142	2.51499052
143	2.511531544
144	2.508268547
145	2.506458255
146	2.503845817
147	2.501522318
148	2.499135671
149	2.495256375
150	2.491947389
151	2.488883613
152	2.486405549
153	2.483772049
154	2.480995392
155	2.479230003
156	2.476360944
157	2.473351574
158	2.470985296
159	2.467806817
160	2.465252917
161	2.463330991
162	2.4613202
163	2.458008644
164	2.454829512
165	2.452582703
166	2.450712586
167	2.447810456
168	2.44550634
169	2.443085896
170	2.441204407
171	2.43792818
172	2.435346063
173	2.431843271
174	2.430289846
175	2.427739203
176	2.4242169
177	2.421343885
178	2.419696612
179	2.416164655
180	2.413382829
181	2.410270356
182	2.407855376
183	2.405115305
184	2.403398466
185	2.40120369
186	2.398655758
187	2.396116832
188	2.393479787
189	2.390693731
190	2.387610795
191	2.385592416
192	2.382882057
193	2.380797504
194	2.377876616
195	2.375727456
196	2.372810751
197	2.370452183
198	2.367236726
199	2.364299973
200	2.362378572
201	2.359615398
202	2.35814855
203	2.356357611
204	2.354181087
205	2.351796159
206	2.349719696
207	2.34807497
208	2.346438765
209	2.34446828
210	2.342904097
211	2.340461372
212	2.338166968
213	2.33616731
214	2.333812007
215	2.332257798
216	2.330528542
217	2.329036667
218	2.32687872
219	2.323975894
220	2.321513747
221	2.319641728
222	2.317692496
223	2.31584272
224	2.314367322
225	2.312135464
226	2.310153647
227	2.307656988
228	2.30556157
229	2.303295267
230	2.301489132
231	2.299622922
232	2.297383236
233	2.296070763
234	2.294316958
235	2.292678274
236	2.290329243
237	2.288031172
238	2.286628487
239	2.284241275
240	2.281984763
241	2.279773633
242	2.278491925
243	2.276139828
244	2.274320695
245	2.271895126
246	2.269880395
247	2.267959794
248	2.266463234
249	2.264231427
250	2.26220513
251	2.260230056
252	2.258684799
253	2.257155055
254	2.256047839
255	2.254786771
256	2.25300784
257	2.251161099
258	2.249618491
259	2.248228435
260	2.246133181
261	2.244540403
262	2.242585835
263	2.240309887
264	2.238386453
265	2.236623728
266	2.234489689
267	2.232801595
268	2.231038384
269	2.22908614
270	2.227155082
271	2.225817712
272	2.224613076
273	2.222927573
274	2.221563353
275	2.219633332
276	2.217990905
277	2.216260589
278	2.214388782
279	2.212052361
280	2.210655334
281	2.208960599
282	2.207168946
283	2.205215734
284	2.202847478
285	2.201896171
286	2.199998383
287	2.198662597
288	2.197510472
289	2.196194045
290	2.19448443
291	2.19307419
292	2.191629503
293	2.190611052
294	2.188736507
295	2.187332836
296	2.185365702
297	2.184133666
298	2.182804533
299	2.181585018
300	2.179728491
301	2.177974248
302	2.176328569
303	2.175264054
304	2.173158482
305	2.171187765
306	2.169776545
307	2.168736597
308	2.166517275
309	2.164039061
310	2.162706199
311	2.161030535
312	2.159962039
313	2.158312473
314	2.157088703
315	2.155542697
316	2.154169644
317	2.152737336
318	2.151282733
319	2.15026904
320	2.148894457
321	2.147316555
322	2.145293398
323	2.143363767
324	2.141800617
325	2.140571049
326	2.139429109
327	2.137754575
328	2.136397322
329	2.134560711
330	2.132773776
331	2.131072204
332	2.129833751
333	2.128030192
334	2.126479989
335	2.124446788
336	2.122934445
337	2.12096321
338	2.119701392
339	2.118381381
340	2.116729854
341	2.114680232
342	2.113070412
343	2.111855289
344	2.110144462
345	2.107943817
346	2.105636682
347	2.104649644
348	2.10310879
349	2.101844524
350	2.100698985
351	2.098676025
352	2.097222316
353	2.095322718
354	2.094404181
355	2.093096304
356	2.091537701
357	2.090156101
358	2.088295629
359	2.086446994
360	2.084596497
361	2.083507733
362	2.082216317
363	2.080671553
364	2.079064877
365	2.077446418
366	2.07641802
367	2.075185647
368	2.074110387
369	2.071888362
370	2.070103533
371	2.068751685
372	2.067582597
373	2.066140435
374	2.064434576
375	2.063310198
376	2.062336964
377	2.060925333
378	2.059416535
379	2.058499641
380	2.057177767
381	2.055734414
382	2.05411463
383	2.052625172
384	2.051372451
385	2.05016642
386	2.048334223
387	2.046575222
388	2.044803672
389	2.043339982
390	2.042237052
391	2.040226197
392	2.039483484
393	2.03818002
394	2.036835482
395	2.035739728
396	2.034528209
397	2.03290714
398	2.031359839
399	2.030071832
400	2.028745791
401	2.026855263
402	2.025556162
403	2.024052057
404	2.022556488
405	2.021320507
406	2.019755605
407	2.018717765
408	2.017648662
409	2.016174997
410	2.015336303
411	2.014254423
412	2.012944478
413	2.011348512
414	2.010177293
415	2.009089427
416	2.007666813
417	2.00619356
418	2.004389728
419	2.002817585
420	2.001431635
421	1.999977089
422	1.998987749
423	1.997649489
424	1.996674492
425	1.995695788
426	1.994851577
427	1.993552931
428	1.992968746
429	1.991152745
430	1.989757527
431	1.988227792
432	1.986599419
433	1.985125094
434	1.982950474
435	1.981873061
436	1.980952923
437	1.979053012
438	1.977807991
439	1.976878201
440	1.975201868
441	1.973800885
442	1.972892411
443	1.971553838
444	1.969957931
445	1.969040774
446	1.967709559
447	1.966343937
448	1.964517771
449	1.963268617
450	1.961835834
451	1.960475672
452	1.959447983
453	1.957405783
454	1.95559328
455	1.954210592
456	1.953083715
457	1.950935335
458	1.948671646
459	1.947368531
460	1.946378056
461	1.944779756
462	1.94351024
463	1.941929642
464	1.940196868
465	1.938734603
466	1.937606868
467	1.936043418
468	1.934388881
469	1.932816741
470	1.931851611
471	1.930870502
472	1.930099561
473	1.928795096
474	1.927607418
475	1.925854432
476	1.924997259
477	1.923930833
478	1.922101221
479	1.920673212
480	1.918967381
481	1.917333418
482	1.915706207
483	1.914322962
484	1.91252074
485	1.910779032
486	1.909994126
487	1.908913425
488	1.90760354
489	1.906209443
490	1.90475218
491	1.903468493
492	1.902233626
493	1.90122418
494	1.899740962
495	1.898326875
496	1.897345333
497	1.896439009
498	1.895322992
499	1.894788196
500	1.893219928
501	1.891943522
502	1.890916067
503	1.89018927
504	1.889064022
505	1.887651235
506	1.886071956
507	1.88500985
508	1.883995201
509	1.882646214
510	1.881094182
511	1.880027619
512	1.878521737
513	1.877510942
514	1.875537432
515	1.874915949
516	1.873898535
517	1.873094053
518	1.871306605
519	1.870023922
520	1.868376135
521	1.866973302
522	1.865791539
523	1.8648247
524	1.863067927
525	1.861446469
526	1.86036432
527	1.859207543
528	1.857666011
529	1.856661252
530	1.855267087
531	1.853847292
532	1.852274012
533	1.850661283
534	1.84861081
535	1.847077929
